Number of non‑zero bins: 812
Total bins: 209952
Fraction: 0.39%

#R=G=B, hence the colours are all gray to black

(np.int64(4), np.int64(18), np.int64(14), np.int64(35)) -> [4.0953155 4.0953155 4.0953155]
(np.int64(4), np.int64(18), np.int64(15), np.int64(0)) -> [2.7900617 2.7900617 2.7900617]
(np.int64(4), np.int64(18), np.int64(15), np.int64(1)) -> [0.09579922 0.09579922 0.09579922]
(np.int64(4), np.int64(18), np.int64(15), np.int64(19)) -> [0.84547174 0.84547174 0.84547174]
(np.int64(4), np.int64(18), np.int64(15), np.int64(20)) -> [0.01039703 0.01039703 0.01039703]
(np.int64(4), np.int64(18), np.int64(15), np.int64(35)) -> [0.7154176 0.7154176 0.7154176]
(np.int64(4), np.int64(19), np.int64(2), np.int64(17)) -> [4.1920056 4.1920056 4.1920056]
(np.int64(4), np.int64(19), np.int64(2), np.int64(18)) -> [16.013298 16.013298 16.013298]
(np.int64(4), np.int64(19), np.int64(2), np.int64(19)) -> [2.1312551 2.1312551 2.1312551]
(np.int64(4), np.int64(19), np.int64(3), np.int64(6)) -> [0.00030657 0.00030657 0.00030657]
(np.int64(4), np.int64(19), np.int64(3), np.int64(17)) -> [0.10138401 0.10138401 0.10138401]
